,Survived,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
0,0,3,male,22.0,7.25,S,X,2
1,1,1,female,38.0,71.2833,C,C,2
2,1,3,female,26.0,7.925,S,X,1
3,1,1,female,35.0,53.1,S,C,2
4,0,3,male,35.0,8.05,S,X,1
5,0,3,male,28.0,8.4583,Q,X,1
6,0,1,male,54.0,51.8625,S,E,1
7,0,3,male,2.0,21.075,S,X,5
8,1,3,female,27.0,11.1333,S,X,3
9,1,2,female,14.0,30.0708,C,X,2
10,1,3,female,4.0,16.7,S,G,3
11,1,1,female,58.0,26.55,S,C,1
12,0,3,male,20.0,8.05,S,X,1
13,0,3,male,39.0,31.275,S,X,7
14,0,3,female,14.0,7.8542,S,X,1
15,1,2,female,55.0,16.0,S,X,1
16,0,3,male,2.0,29.125,Q,X,6
17,1,2,male,28.0,13.0,S,X,1
18,0,3,female,31.0,18.0,S,X,2
19,1,3,female,28.0,7.225,C,X,1
20,0,2,male,35.0,26.0,S,X,1
21,1,2,male,34.0,13.0,S,D,1
22,1,3,female,15.0,8.0292,Q,X,1
23,1,1,male,28.0,35.5,S,A,1
24,0,3,female,8.0,21.075,S,X,5
25,1,3,female,38.0,31.3875,S,X,7
26,0,3,male,28.0,7.225,C,X,1
27,0,1,male,19.0,263.0,S,C,6
28,1,3,female,28.0,7.8792,Q,X,1
29,0,3,male,28.0,7.8958,S,X,1
30,0,1,male,40.0,27.7208,C,X,1
31,1,1,female,28.0,146.5208,C,B,2
32,1,3,female,28.0,7.75,Q,X,1
33,0,2,male,66.0,10.5,S,X,1
34,0,1,male,28.0,82.1708,C,X,2
35,0,1,male,42.0,52.0,S,X,2
36,1,3,male,28.0,7.2292,C,X,1
37,0,3,male,21.0,8.05,S,X,1
38,0,3,female,18.0,18.0,S,X,3
39,1,3,female,14.0,11.2417,C,X,2
40,0,3,female,40.0,9.475,S,X,2
41,0,2,female,27.0,21.0,S,X,2
42,0,3,male,28.0,7.8958,C,X,1
43,1,2,female,3.0,41.5792,C,X,4
44,1,3,female,19.0,7.8792,Q,X,1
45,0,3,male,28.0,8.05,S,X,1
46,0,3,male,28.0,15.5,Q,X,2
47,1,3,female,28.0,7.75,Q,X,1
48,0,3,male,28.0,21.6792,C,X,3
49,0,3,female,18.0,17.8,S,X,2
50,0,3,male,7.0,39.6875,S,X,6
51,0,3,male,21.0,7.8,S,X,1
52,1,1,female,49.0,76.7292,C,D,2
53,1,2,female,29.0,26.0,S,X,2
54,0,1,male,65.0,61.9792,C,B,2
55,1,1,male,28.0,35.5,S,C,1
56,1,2,female,21.0,10.5,S,X,1
57,0,3,male,28.5,7.2292,C,X,1
58,1,2,female,5.0,27.75,S,X,4
59,0,3,male,11.0,46.9,S,X,8
60,0,3,male,22.0,7.2292,C,X,1
61,1,1,female,38.0,80.0,S,B,1
62,0,1,male,45.0,83.475,S,C,2
63,0,3,male,4.0,27.9,S,X,6
64,0,1,male,28.0,27.7208,C,X,1
65,1,3,male,28.0,15.2458,C,X,3
66,1,2,female,29.0,10.5,S,F,1
67,0,3,male,19.0,8.1583,S,X,1
68,1,3,female,17.0,7.925,S,X,7
69,0,3,male,26.0,8.6625,S,X,3
70,0,2,male,32.0,10.5,S,X,1
71,0,3,female,16.0,46.9,S,X,8
72,0,2,male,21.0,73.5,S,X,1
73,0,3,male,26.0,14.4542,C,X,2
74,1,3,male,32.0,56.4958,S,X,1
75,0,3,male,25.0,7.65,S,F,1
76,0,3,male,28.0,7.8958,S,X,1
77,0,3,male,28.0,8.05,S,X,1
78,1,2,male,0.83,29.0,S,X,3
79,1,3,female,30.0,12.475,S,X,1
80,0,3,male,22.0,9.0,S,X,1
81,1,3,male,29.0,9.5,S,X,1
82,1,3,female,28.0,7.7875,Q,X,1
83,0,1,male,28.0,47.1,S,X,1
84,1,2,female,17.0,10.5,S,X,1
85,1,3,female,33.0,15.85,S,X,4
86,0,3,male,16.0,34.375,S,X,5
87,0,3,male,28.0,8.05,S,X,1
88,1,1,female,23.0,263.0,S,C,6
89,0,3,male,24.0,8.05,S,X,1
90,0,3,male,29.0,8.05,S,X,1
91,0,3,male,20.0,7.8542,S,X,1
92,0,1,male,46.0,61.175,S,E,2
93,0,3,male,26.0,20.575,S,X,4
94,0,3,male,59.0,7.25,S,X,1
95,0,3,male,28.0,8.05,S,X,1
96,0,1,male,71.0,34.6542,C,A,1
97,1,1,male,23.0,63.3583,C,D,2
98,1,2,female,34.0,23.0,S,X,2
99,0,2,male,34.0,26.0,S,X,2
100,0,3,female,28.0,7.8958,S,X,1
101,0,3,male,28.0,7.8958,S,X,1
102,0,1,male,21.0,77.2875,S,D,2
103,0,3,male,33.0,8.6542,S,X,1
104,0,3,male,37.0,7.925,S,X,3
105,0,3,male,28.0,7.8958,S,X,1
106,1,3,female,21.0,7.65,S,X,1
107,1,3,male,28.0,7.775,S,X,1
108,0,3,male,38.0,7.8958,S,X,1
109,1,3,female,28.0,24.15,Q,X,2
110,0,1,male,47.0,52.0,S,C,1
111,0,3,female,14.5,14.4542,C,X,2
112,0,3,male,22.0,8.05,S,X,1
113,0,3,female,20.0,9.825,S,X,2
114,0,3,female,17.0,14.4583,C,X,1
115,0,3,male,21.0,7.925,S,X,1
116,0,3,male,70.5,7.75,Q,X,1
117,0,2,male,29.0,21.0,S,X,2
118,0,1,male,24.0,247.5208,C,B,2
119,0,3,female,2.0,31.275,S,X,7
120,0,2,male,21.0,73.5,S,X,3
121,0,3,male,28.0,8.05,S,X,1
122,0,2,male,32.5,30.0708,C,X,2
123,1,2,female,32.5,13.0,S,E,1
124,0,1,male,54.0,77.2875,S,D,2
125,1,3,male,12.0,11.2417,C,X,2
126,0,3,male,28.0,7.75,Q,X,1
127,1,3,male,24.0,7.1417,S,X,1
128,1,3,female,28.0,22.3583,C,F,3
129,0,3,male,45.0,6.975,S,X,1
130,0,3,male,33.0,7.8958,C,X,1
131,0,3,male,20.0,7.05,S,X,1
132,0,3,female,47.0,14.5,S,X,2
133,1,2,female,29.0,26.0,S,X,2
134,0,2,male,25.0,13.0,S,X,1
135,0,2,male,23.0,15.0458,C,X,1
136,1,1,female,19.0,26.2833,S,D,3
137,0,1,male,37.0,53.1,S,C,2
138,0,3,male,16.0,9.2167,S,X,1
139,0,1,male,24.0,79.2,C,B,1
140,0,3,female,28.0,15.2458,C,X,3
141,1,3,female,22.0,7.75,S,X,1
142,1,3,female,24.0,15.85,S,X,2
143,0,3,male,19.0,6.75,Q,X,1
144,0,2,male,18.0,11.5,S,X,1
145,0,2,male,19.0,36.75,S,X,3
146,1,3,male,27.0,7.7958,S,X,1
147,0,3,female,9.0,34.375,S,X,5
148,0,2,male,36.5,26.0,S,F,3
149,0,2,male,42.0,13.0,S,X,1
150,0,2,male,51.0,12.525,S,X,1
151,1,1,female,22.0,66.6,S,C,2
152,0,3,male,55.5,8.05,S,X,1
153,0,3,male,40.5,14.5,S,X,3
154,0,3,male,28.0,7.3125,S,X,1
155,0,1,male,51.0,61.3792,C,X,2
156,1,3,female,16.0,7.7333,Q,X,1
157,0,3,male,30.0,8.05,S,X,1
158,0,3,male,28.0,8.6625,S,X,1
159,0,3,male,28.0,69.55,S,X,11
160,0,3,male,44.0,16.1,S,X,2
161,1,2,female,40.0,15.75,S,X,1
162,0,3,male,26.0,7.775,S,X,1
163,0,3,male,17.0,8.6625,S,X,1
164,0,3,male,1.0,39.6875,S,X,6
165,1,3,male,9.0,20.525,S,X,3
166,1,1,female,28.0,55.0,S,E,2
167,0,3,female,45.0,27.9,S,X,6
168,0,1,male,28.0,25.925,S,X,1
169,0,3,male,28.0,56.4958,S,X,1
170,0,1,male,61.0,33.5,S,B,1
171,0,3,male,4.0,29.125,Q,X,6
172,1,3,female,1.0,11.1333,S,X,3
173,0,3,male,21.0,7.925,S,X,1
174,0,1,male,56.0,30.6958,C,A,1
175,0,3,male,18.0,7.8542,S,X,3
176,0,3,male,28.0,25.4667,S,X,5
177,0,1,female,50.0,28.7125,C,C,1
178,0,2,male,30.0,13.0,S,X,1
179,0,3,male,36.0,0.0,S,X,1
180,0,3,female,28.0,69.55,S,X,11
181,0,2,male,28.0,15.05,C,X,1
182,0,3,male,9.0,31.3875,S,X,7
183,1,2,male,1.0,39.0,S,F,4
184,1,3,female,4.0,22.025,S,X,3
185,0,1,male,28.0,50.0,S,A,1
186,1,3,female,28.0,15.5,Q,X,2
187,1,1,male,45.0,26.55,S,X,1
188,0,3,male,40.0,15.5,Q,X,3
189,0,3,male,36.0,7.8958,S,X,1
190,1,2,female,32.0,13.0,S,X,1
191,0,2,male,19.0,13.0,S,X,1
192,1,3,female,19.0,7.8542,S,X,2
193,1,2,male,3.0,26.0,S,F,3
194,1,1,female,44.0,27.7208,C,B,1
195,1,1,female,58.0,146.5208,C,B,1
196,0,3,male,28.0,7.75,Q,X,1
197,0,3,male,42.0,8.4042,S,X,2
198,1,3,female,28.0,7.75,Q,X,1
199,0,2,female,24.0,13.0,S,X,1
200,0,3,male,28.0,9.5,S,X,1
201,0,3,male,28.0,69.55,S,X,11
202,0,3,male,34.0,6.4958,S,X,1
203,0,3,male,45.5,7.225,C,X,1
204,1,3,male,18.0,8.05,S,X,1
205,0,3,female,2.0,10.4625,S,G,2
206,0,3,male,32.0,15.85,S,X,2
207,1,3,male,26.0,18.7875,C,X,1
208,1,3,female,16.0,7.75,Q,X,1
209,1,1,male,40.0,31.0,C,A,1
210,0,3,male,24.0,7.05,S,X,1
211,1,2,female,35.0,21.0,S,X,1
212,0,3,male,22.0,7.25,S,X,1
213,0,2,male,30.0,13.0,S,X,1
214,0,3,male,28.0,7.75,Q,X,2
215,1,1,female,31.0,113.275,C,D,2
216,1,3,female,27.0,7.925,S,X,1
217,0,2,male,42.0,27.0,S,X,2
218,1,1,female,32.0,76.2917,C,D,1
219,0,2,male,30.0,10.5,S,X,1
220,1,3,male,16.0,8.05,S,X,1
221,0,2,male,27.0,13.0,S,X,1
222,0,3,male,51.0,8.05,S,X,1
223,0,3,male,28.0,7.8958,S,X,1
224,1,1,male,38.0,90.0,S,C,2
225,0,3,male,22.0,9.35,S,X,1
226,1,2,male,19.0,10.5,S,X,1
227,0,3,male,20.5,7.25,S,X,1
228,0,2,male,18.0,13.0,S,X,1
229,0,3,female,28.0,25.4667,S,X,5
230,1,1,female,35.0,83.475,S,C,2
231,0,3,male,29.0,7.775,S,X,1
232,0,2,male,59.0,13.5,S,X,1
233,1,3,female,5.0,31.3875,S,X,7
234,0,2,male,24.0,10.5,S,X,1
235,0,3,female,28.0,7.55,S,X,1
236,0,2,male,44.0,26.0,S,X,2
237,1,2,female,8.0,26.25,S,X,3
238,0,2,male,19.0,10.5,S,X,1
239,0,2,male,33.0,12.275,S,X,1
240,0,3,female,28.0,14.4542,C,X,2
241,1,3,female,28.0,15.5,Q,X,2
242,0,2,male,29.0,10.5,S,X,1
243,0,3,male,22.0,7.125,S,X,1
244,0,3,male,30.0,7.225,C,X,1
245,0,1,male,44.0,90.0,Q,C,3
246,0,3,female,25.0,7.775,S,X,1
247,1,2,female,24.0,14.5,S,X,3
248,1,1,male,37.0,52.5542,S,D,3
249,0,2,male,54.0,26.0,S,X,2
250,0,3,male,28.0,7.25,S,X,1
251,0,3,female,29.0,10.4625,S,G,3
252,0,1,male,62.0,26.55,S,C,1
253,0,3,male,30.0,16.1,S,X,2
254,0,3,female,41.0,20.2125,S,X,3
255,1,3,female,29.0,15.2458,C,X,3
256,1,1,female,28.0,79.2,C,X,1
257,1,1,female,30.0,86.5,S,B,1
258,1,1,female,35.0,512.3292,C,X,1
259,1,2,female,50.0,26.0,S,X,2
260,0,3,male,28.0,7.75,Q,X,1
261,1,3,male,3.0,31.3875,S,X,7
262,0,1,male,52.0,79.65,S,E,3
263,0,1,male,40.0,0.0,S,B,1
264,0,3,female,28.0,7.75,Q,X,1
265,0,2,male,36.0,10.5,S,X,1
266,0,3,male,16.0,39.6875,S,X,6
267,1,3,male,25.0,7.775,S,X,2
268,1,1,female,58.0,153.4625,S,C,2
269,1,1,female,35.0,135.6333,S,C,1
270,0,1,male,28.0,31.0,S,X,1
271,1,3,male,25.0,0.0,S,X,1
272,1,2,female,41.0,19.5,S,X,2
273,0,1,male,37.0,29.7,C,C,2
274,1,3,female,28.0,7.75,Q,X,1
275,1,1,female,63.0,77.9583,S,D,2
276,0,3,female,45.0,7.75,S,X,1
277,0,2,male,28.0,0.0,S,X,1
278,0,3,male,7.0,29.125,Q,X,6
279,1,3,female,35.0,20.25,S,X,3
280,0,3,male,65.0,7.75,Q,X,1
281,0,3,male,28.0,7.8542,S,X,1
282,0,3,male,16.0,9.5,S,X,1
283,1,3,male,19.0,8.05,S,X,1
284,0,1,male,28.0,26.0,S,A,1
285,0,3,male,33.0,8.6625,C,X,1
286,1,3,male,30.0,9.5,S,X,1
287,0,3,male,22.0,7.8958,S,X,1
288,1,2,male,42.0,13.0,S,X,1
289,1,3,female,22.0,7.75,Q,X,1
290,1,1,female,26.0,78.85,S,X,1
291,1,1,female,19.0,91.0792,C,B,2
292,0,2,male,36.0,12.875,C,D,1
293,0,3,female,24.0,8.85,S,X,1
294,0,3,male,24.0,7.8958,S,X,1
295,0,1,male,28.0,27.7208,C,X,1
296,0,3,male,23.5,7.2292,C,X,1
297,0,1,female,2.0,151.55,S,C,4
298,1,1,male,28.0,30.5,S,C,1
299,1,1,female,50.0,247.5208,C,B,2
300,1,3,female,28.0,7.75,Q,X,1
301,1,3,male,28.0,23.25,Q,X,3
302,0,3,male,19.0,0.0,S,X,1
303,1,2,female,28.0,12.35,Q,E,1
304,0,3,male,28.0,8.05,S,X,1
305,1,1,male,0.92,151.55,S,C,4
306,1,1,female,28.0,110.8833,C,X,1
307,1,1,female,17.0,108.9,C,C,2
308,0,2,male,30.0,24.0,C,X,2
309,1,1,female,30.0,56.9292,C,E,1
310,1,1,female,24.0,83.1583,C,C,1
311,1,1,female,18.0,262.375,C,B,5
312,0,2,female,26.0,26.0,S,X,3
313,0,3,male,28.0,7.8958,S,X,1
314,0,2,male,43.0,26.25,S,X,3
315,1,3,female,26.0,7.8542,S,X,1
316,1,2,female,24.0,26.0,S,X,2
317,0,2,male,54.0,14.0,S,X,1
318,1,1,female,31.0,164.8667,S,C,3
319,1,1,female,40.0,134.5,C,E,3
320,0,3,male,22.0,7.25,S,X,1
321,0,3,male,27.0,7.8958,S,X,1
322,1,2,female,30.0,12.35,Q,X,1
323,1,2,female,22.0,29.0,S,X,3
324,0,3,male,28.0,69.55,S,X,11
325,1,1,female,36.0,135.6333,C,C,1
326,0,3,male,61.0,6.2375,S,X,1
327,1,2,female,36.0,13.0,S,D,1
328,1,3,female,31.0,20.525,S,X,3
329,1,1,female,16.0,57.9792,C,B,2
330,1,3,female,28.0,23.25,Q,X,3
331,0,1,male,45.5,28.5,S,C,1
332,0,1,male,38.0,153.4625,S,C,2
333,0,3,male,16.0,18.0,S,X,3
334,1,1,female,28.0,133.65,S,X,2
335,0,3,male,28.0,7.8958,S,X,1
336,0,1,male,29.0,66.6,S,C,2
337,1,1,female,41.0,134.5,C,E,1
338,1,3,male,45.0,8.05,S,X,1
339,0,1,male,45.0,35.5,S,T,1
340,1,2,male,2.0,26.0,S,F,3
341,1,1,female,24.0,263.0,S,C,6
342,0,2,male,28.0,13.0,S,X,1
343,0,2,male,25.0,13.0,S,X,1
344,0,2,male,36.0,13.0,S,X,1
345,1,2,female,24.0,13.0,S,F,1
346,1,2,female,40.0,13.0,S,X,1
347,1,3,female,28.0,16.1,S,X,2
348,1,3,male,3.0,15.9,S,X,3
349,0,3,male,42.0,8.6625,S,X,1
350,0,3,male,23.0,9.225,S,X,1
351,0,1,male,28.0,35.0,S,C,1
352,0,3,male,15.0,7.2292,C,X,3
353,0,3,male,25.0,17.8,S,X,2
354,0,3,male,28.0,7.225,C,X,1
355,0,3,male,28.0,9.5,S,X,1
356,1,1,female,22.0,55.0,S,E,2
357,0,2,female,38.0,13.0,S,X,1
358,1,3,female,28.0,7.8792,Q,X,1
359,1,3,female,28.0,7.8792,Q,X,1
360,0,3,male,40.0,27.9,S,X,6
361,0,2,male,29.0,27.7208,C,X,2
362,0,3,female,45.0,14.4542,C,X,2
363,0,3,male,35.0,7.05,S,X,1
364,0,3,male,28.0,15.5,Q,X,2
365,0,3,male,30.0,7.25,S,X,1
366,1,1,female,60.0,75.25,C,D,2
367,1,3,female,28.0,7.2292,C,X,1
368,1,3,female,28.0,7.75,Q,X,1
369,1,1,female,24.0,69.3,C,B,1
370,1,1,male,25.0,55.4417,C,E,2
371,0,3,male,18.0,6.4958,S,X,2
372,0,3,male,19.0,8.05,S,X,1
373,0,1,male,22.0,135.6333,C,X,1
374,0,3,female,3.0,21.075,S,X,5
375,1,1,female,28.0,82.1708,C,X,2
376,1,3,female,22.0,7.25,S,X,1
377,0,1,male,27.0,211.5,C,C,3
378,0,3,male,20.0,4.0125,C,X,1
379,0,3,male,19.0,7.775,S,X,1
380,1,1,female,42.0,227.525,C,X,1
381,1,3,female,1.0,15.7417,C,X,3
382,0,3,male,32.0,7.925,S,X,1
383,1,1,female,35.0,52.0,S,X,2
384,0,3,male,28.0,7.8958,S,X,1
385,0,2,male,18.0,73.5,S,X,1
386,0,3,male,1.0,46.9,S,X,8
387,1,2,female,36.0,13.0,S,X,1
388,0,3,male,28.0,7.7292,Q,X,1
389,1,2,female,17.0,12.0,C,X,1
390,1,1,male,36.0,120.0,S,B,4
391,1,3,male,21.0,7.7958,S,X,1
392,0,3,male,28.0,7.925,S,X,3
393,1,1,female,23.0,113.275,C,D,2
394,1,3,female,24.0,16.7,S,G,3
395,0,3,male,22.0,7.7958,S,X,1
396,0,3,female,31.0,7.8542,S,X,1
397,0,2,male,46.0,26.0,S,X,1
398,0,2,male,23.0,10.5,S,X,1
399,1,2,female,28.0,12.65,S,X,1
400,1,3,male,39.0,7.925,S,X,1
401,0,3,male,26.0,8.05,S,X,1
402,0,3,female,21.0,9.825,S,X,2
403,0,3,male,28.0,15.85,S,X,2
404,0,3,female,20.0,8.6625,S,X,1
405,0,2,male,34.0,21.0,S,X,2
406,0,3,male,51.0,7.75,S,X,1
407,1,2,male,3.0,18.75,S,X,3
408,0,3,male,21.0,7.775,S,X,1
409,0,3,female,28.0,25.4667,S,X,5
410,0,3,male,28.0,7.8958,S,X,1
411,0,3,male,28.0,6.8583,Q,X,1
412,1,1,female,33.0,90.0,Q,C,2
413,0,2,male,28.0,0.0,S,X,1
414,1,3,male,44.0,7.925,S,X,1
415,0,3,female,28.0,8.05,S,X,1
416,1,2,female,34.0,32.5,S,X,3
417,1,2,female,18.0,13.0,S,X,3
418,0,2,male,30.0,13.0,S,X,1
419,0,3,female,10.0,24.15,S,X,3
420,0,3,male,28.0,7.8958,C,X,1
421,0,3,male,21.0,7.7333,Q,X,1
422,0,3,male,29.0,7.875,S,X,1
423,0,3,female,28.0,14.4,S,X,3
424,0,3,male,18.0,20.2125,S,X,3
425,0,3,male,28.0,7.25,S,X,1
426,1,2,female,28.0,26.0,S,X,2
427,1,2,female,19.0,26.0,S,X,1
428,0,3,male,28.0,7.75,Q,X,1
429,1,3,male,32.0,8.05,S,E,1
430,1,1,male,28.0,26.55,S,C,1
431,1,3,female,28.0,16.1,S,X,2
432,1,2,female,42.0,26.0,S,X,2
433,0,3,male,17.0,7.125,S,X,1
434,0,1,male,50.0,55.9,S,E,2
435,1,1,female,14.0,120.0,S,B,4
436,0,3,female,21.0,34.375,S,X,5
437,1,2,female,24.0,18.75,S,X,6
438,0,1,male,64.0,263.0,S,C,6
439,0,2,male,31.0,10.5,S,X,1
440,1,2,female,45.0,26.25,S,X,3
441,0,3,male,20.0,9.5,S,X,1
442,0,3,male,25.0,7.775,S,X,2
443,1,2,female,28.0,13.0,S,X,1
444,1,3,male,28.0,8.1125,S,X,1
