,Survived,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
445,1,1,male,4.0,81.8583,S,A,3
446,1,2,female,13.0,19.5,S,X,2
447,1,1,male,34.0,26.55,S,X,1
448,1,3,female,5.0,19.2583,C,X,4
449,1,1,male,52.0,30.5,S,C,1
450,0,2,male,36.0,27.75,S,X,4
451,0,3,male,28.0,19.9667,S,X,2
452,0,1,male,30.0,27.75,C,C,1
453,1,1,male,49.0,89.1042,C,C,2
454,0,3,male,28.0,8.05,S,X,1
455,1,3,male,29.0,7.8958,C,X,1
456,0,1,male,65.0,26.55,S,E,1
457,1,1,female,28.0,51.8625,S,D,2
458,1,2,female,50.0,10.5,S,X,1
459,0,3,male,28.0,7.75,Q,X,1
460,1,1,male,48.0,26.55,S,E,1
461,0,3,male,34.0,8.05,S,X,1
462,0,1,male,47.0,38.5,S,E,1
463,0,2,male,48.0,13.0,S,X,1
464,0,3,male,28.0,8.05,S,X,1
465,0,3,male,38.0,7.05,S,X,1
466,0,2,male,28.0,0.0,S,X,1
467,0,1,male,56.0,26.55,S,X,1
468,0,3,male,28.0,7.725,Q,X,1
469,1,3,female,0.75,19.2583,C,X,4
470,0,3,male,28.0,7.25,S,X,1
471,0,3,male,38.0,8.6625,S,X,1
472,1,2,female,33.0,27.75,S,X,4
473,1,2,female,23.0,13.7917,C,D,1
474,0,3,female,22.0,9.8375,S,X,1
475,0,1,male,28.0,52.0,S,A,1
476,0,2,male,34.0,21.0,S,X,2
477,0,3,male,29.0,7.0458,S,X,2
478,0,3,male,22.0,7.5208,S,X,1
479,1,3,female,2.0,12.2875,S,X,2
480,0,3,male,9.0,46.9,S,X,8
481,0,2,male,28.0,0.0,S,X,1
482,0,3,male,50.0,8.05,S,X,1
483,1,3,female,63.0,9.5875,S,X,1
484,1,1,male,25.0,91.0792,C,B,2
485,0,3,female,28.0,25.4667,S,X,5
486,1,1,female,35.0,90.0,S,C,2
487,0,1,male,58.0,29.7,C,B,1
488,0,3,male,30.0,8.05,S,X,1
489,1,3,male,9.0,15.9,S,X,3
490,0,3,male,28.0,19.9667,S,X,2
491,0,3,male,21.0,7.25,S,X,1
492,0,1,male,55.0,30.5,S,C,1
493,0,1,male,71.0,49.5042,C,X,1
494,0,3,male,21.0,8.05,S,X,1
495,0,3,male,28.0,14.4583,C,X,1
496,1,1,female,54.0,78.2667,C,D,2
497,0,3,male,28.0,15.1,S,X,1
498,0,1,female,25.0,151.55,S,C,4
499,0,3,male,24.0,7.7958,S,X,1
500,0,3,male,17.0,8.6625,S,X,1
501,0,3,female,21.0,7.75,Q,X,1
502,0,3,female,28.0,7.6292,Q,X,1
503,0,3,female,37.0,9.5875,S,X,1
504,1,1,female,16.0,86.5,S,B,1
505,0,1,male,18.0,108.9,C,C,2
506,1,2,female,33.0,26.0,S,X,3
507,1,1,male,28.0,26.55,S,X,1
508,0,3,male,28.0,22.525,S,X,1
509,1,3,male,26.0,56.4958,S,X,1
510,1,3,male,29.0,7.75,Q,X,1
511,0,3,male,28.0,8.05,S,X,1
512,1,1,male,36.0,26.2875,S,E,1
513,1,1,female,54.0,59.4,C,X,2
514,0,3,male,24.0,7.4958,S,X,1
515,0,1,male,47.0,34.0208,S,D,1
516,1,2,female,34.0,10.5,S,F,1
517,0,3,male,28.0,24.15,Q,X,1
518,1,2,female,36.0,26.0,S,X,2
519,0,3,male,32.0,7.8958,S,X,1
520,1,1,female,30.0,93.5,S,B,1
521,0,3,male,22.0,7.8958,S,X,1
522,0,3,male,28.0,7.225,C,X,1
523,1,1,female,44.0,57.9792,C,B,2
524,0,3,male,28.0,7.2292,C,X,1
525,0,3,male,40.5,7.75,Q,X,1
526,1,2,female,50.0,10.5,S,X,1
527,0,1,male,28.0,221.7792,S,C,1
528,0,3,male,39.0,7.925,S,X,1
529,0,2,male,23.0,11.5,S,X,4
530,1,2,female,2.0,26.0,S,X,3
531,0,3,male,28.0,7.2292,C,X,1
532,0,3,male,17.0,7.2292,C,X,3
533,1,3,female,28.0,22.3583,C,X,3
534,0,3,female,30.0,8.6625,S,X,1
535,1,2,female,7.0,26.25,S,X,3
536,0,1,male,45.0,26.55,S,B,1
537,1,1,female,30.0,106.425,C,X,1
538,0,3,male,28.0,14.5,S,X,1
539,1,1,female,22.0,49.5,C,B,3
540,1,1,female,36.0,71.0,S,B,3
541,0,3,female,9.0,31.275,S,X,7
542,0,3,female,11.0,31.275,S,X,7
543,1,2,male,32.0,26.0,S,X,2
544,0,1,male,50.0,106.425,C,C,2
545,0,1,male,64.0,26.0,S,X,1
546,1,2,female,19.0,26.0,S,X,2
547,1,2,male,28.0,13.8625,C,X,1
548,0,3,male,33.0,20.525,S,X,3
549,1,2,male,8.0,36.75,S,X,3
550,1,1,male,17.0,110.8833,C,C,3
551,0,2,male,27.0,26.0,S,X,1
552,0,3,male,28.0,7.8292,Q,X,1
553,1,3,male,22.0,7.225,C,X,1
554,1,3,female,22.0,7.775,S,X,1
555,0,1,male,62.0,26.55,S,X,1
556,1,1,female,48.0,39.6,C,A,2
557,0,1,male,28.0,227.525,C,X,1
558,1,1,female,39.0,79.65,S,E,3
559,1,3,female,36.0,17.4,S,X,2
560,0,3,male,28.0,7.75,Q,X,1
561,0,3,male,40.0,7.8958,S,X,1
562,0,2,male,28.0,13.5,S,X,1
563,0,3,male,28.0,8.05,S,X,1
564,0,3,female,28.0,8.05,S,X,1
565,0,3,male,24.0,24.15,S,X,3
566,0,3,male,19.0,7.8958,S,X,1
567,0,3,female,29.0,21.075,S,X,5
568,0,3,male,28.0,7.2292,C,X,1
569,1,3,male,32.0,7.8542,S,X,1
570,1,2,male,62.0,10.5,S,X,1
571,1,1,female,53.0,51.4792,S,C,3
572,1,1,male,36.0,26.3875,S,E,1
573,1,3,female,28.0,7.75,Q,X,1
574,0,3,male,16.0,8.05,S,X,1
575,0,3,male,19.0,14.5,S,X,1
576,1,2,female,34.0,13.0,S,X,1
577,1,1,female,39.0,55.9,S,E,2
578,0,3,female,28.0,14.4583,C,X,2
579,1,3,male,32.0,7.925,S,X,1
580,1,2,female,25.0,30.0,S,X,3
581,1,1,female,39.0,110.8833,C,C,3
582,0,2,male,54.0,26.0,S,X,1
583,0,1,male,36.0,40.125,C,A,1
584,0,3,male,28.0,8.7125,C,X,1
585,1,1,female,18.0,79.65,S,E,3
586,0,2,male,47.0,15.0,S,X,1
587,1,1,male,60.0,79.2,C,B,3
588,0,3,male,22.0,8.05,S,X,1
589,0,3,male,28.0,8.05,S,X,1
590,0,3,male,35.0,7.125,S,X,1
591,1,1,female,52.0,78.2667,C,D,2
592,0,3,male,47.0,7.25,S,X,1
593,0,3,female,28.0,7.75,Q,X,3
594,0,2,male,37.0,26.0,S,X,2
595,0,3,male,36.0,24.15,S,X,3
596,1,2,female,28.0,33.0,S,X,1
597,0,3,male,49.0,0.0,S,X,1
598,0,3,male,28.0,7.225,C,X,1
599,1,1,male,49.0,56.9292,C,A,2
600,1,2,female,24.0,27.0,S,X,4
601,0,3,male,28.0,7.8958,S,X,1
602,0,1,male,28.0,42.4,S,X,1
603,0,3,male,44.0,8.05,S,X,1
604,1,1,male,35.0,26.55,C,X,1
605,0,3,male,36.0,15.55,S,X,2
606,0,3,male,30.0,7.8958,S,X,1
607,1,1,male,27.0,30.5,S,X,1
608,1,2,female,22.0,41.5792,C,X,4
609,1,1,female,40.0,153.4625,S,C,1
610,0,3,female,39.0,31.275,S,X,7
611,0,3,male,28.0,7.05,S,X,1
612,1,3,female,28.0,15.5,Q,X,2
613,0,3,male,28.0,7.75,Q,X,1
614,0,3,male,35.0,8.05,S,X,1
615,1,2,female,24.0,65.0,S,X,4
616,0,3,male,34.0,14.4,S,X,3
617,0,3,female,26.0,16.1,S,X,2
618,1,2,female,4.0,39.0,S,F,4
619,0,2,male,26.0,10.5,S,X,1
620,0,3,male,27.0,14.4542,C,X,2
621,1,1,male,42.0,52.5542,S,D,2
622,1,3,male,20.0,15.7417,C,X,3
623,0,3,male,21.0,7.8542,S,X,1
624,0,3,male,21.0,16.1,S,X,1
625,0,1,male,61.0,32.3208,S,D,1
626,0,2,male,57.0,12.35,Q,X,1
627,1,1,female,21.0,77.9583,S,D,1
628,0,3,male,26.0,7.8958,S,X,1
629,0,3,male,28.0,7.7333,Q,X,1
630,1,1,male,80.0,30.0,S,A,1
631,0,3,male,51.0,7.0542,S,X,1
632,1,1,male,32.0,30.5,C,B,1
633,0,1,male,28.0,0.0,S,X,1
634,0,3,female,9.0,27.9,S,X,6
635,1,2,female,28.0,13.0,S,X,1
636,0,3,male,32.0,7.925,S,X,1
637,0,2,male,31.0,26.25,S,X,3
638,0,3,female,41.0,39.6875,S,X,6
639,0,3,male,28.0,16.1,S,X,2
640,0,3,male,20.0,7.8542,S,X,1
641,1,1,female,24.0,69.3,C,B,1
642,0,3,female,2.0,27.9,S,X,6
643,1,3,male,28.0,56.4958,S,X,1
644,1,3,female,0.75,19.2583,C,X,4
645,1,1,male,48.0,76.7292,C,D,2
646,0,3,male,19.0,7.8958,S,X,1
647,1,1,male,56.0,35.5,C,A,1
648,0,3,male,28.0,7.55,S,X,1
649,1,3,female,23.0,7.55,S,X,1
650,0,3,male,28.0,7.8958,S,X,1
651,1,2,female,18.0,23.0,S,X,2
652,0,3,male,21.0,8.4333,S,X,1
653,1,3,female,28.0,7.8292,Q,X,1
654,0,3,female,18.0,6.75,Q,X,1
655,0,2,male,24.0,73.5,S,X,3
656,0,3,male,28.0,7.8958,S,X,1
657,0,3,female,32.0,15.5,Q,X,3
658,0,2,male,23.0,13.0,S,X,1
659,0,1,male,58.0,113.275,C,D,3
660,1,1,male,50.0,133.65,S,X,3
661,0,3,male,40.0,7.225,C,X,1
662,0,1,male,47.0,25.5875,S,E,1
663,0,3,male,36.0,7.4958,S,X,1
664,1,3,male,20.0,7.925,S,X,2
665,0,2,male,32.0,73.5,S,X,3
666,0,2,male,25.0,13.0,S,X,1
667,0,3,male,28.0,7.775,S,X,1
668,0,3,male,43.0,8.05,S,X,1
669,1,1,female,28.0,52.0,S,C,2
670,1,2,female,40.0,39.0,S,X,3
671,0,1,male,31.0,52.0,S,B,2
672,0,2,male,70.0,10.5,S,X,1
673,1,2,male,31.0,13.0,S,X,1
674,0,2,male,28.0,0.0,S,X,1
675,0,3,male,18.0,7.775,S,X,1
676,0,3,male,24.5,8.05,S,X,1
677,1,3,female,18.0,9.8417,S,X,1
678,0,3,female,43.0,46.9,S,X,8
679,1,1,male,36.0,512.3292,C,B,2
680,0,3,female,28.0,8.1375,Q,X,1
681,1,1,male,27.0,76.7292,C,D,1
682,0,3,male,20.0,9.225,S,X,1
683,0,3,male,14.0,46.9,S,X,8
684,0,2,male,60.0,39.0,S,X,3
685,0,2,male,25.0,41.5792,C,X,4
686,0,3,male,14.0,39.6875,S,X,6
687,0,3,male,19.0,10.1708,S,X,1
688,0,3,male,18.0,7.7958,S,X,1
689,1,1,female,15.0,211.3375,S,B,2
690,1,1,male,31.0,57.0,S,B,2
691,1,3,female,4.0,13.4167,C,X,2
692,1,3,male,28.0,56.4958,S,X,1
693,0,3,male,25.0,7.225,C,X,1
694,0,1,male,60.0,26.55,S,X,1
695,0,2,male,52.0,13.5,S,X,1
696,0,3,male,44.0,8.05,S,X,1
697,1,3,female,28.0,7.7333,Q,X,1
698,0,1,male,49.0,110.8833,C,C,3
699,0,3,male,42.0,7.65,S,F,1
700,1,1,female,18.0,227.525,C,C,2
701,1,1,male,35.0,26.2875,S,E,1
702,0,3,female,18.0,14.4542,C,X,2
703,0,3,male,25.0,7.7417,Q,X,1
704,0,3,male,26.0,7.8542,S,X,2
705,0,2,male,39.0,26.0,S,X,1
706,1,2,female,45.0,13.5,S,X,1
707,1,1,male,42.0,26.2875,S,E,1
708,1,1,female,22.0,151.55,S,X,1
709,1,3,male,28.0,15.2458,C,X,3
710,1,1,female,24.0,49.5042,C,C,1
711,0,1,male,28.0,26.55,S,C,1
712,1,1,male,48.0,52.0,S,C,2
713,0,3,male,29.0,9.4833,S,X,1
714,0,2,male,52.0,13.0,S,X,1
715,0,3,male,19.0,7.65,S,F,1
716,1,1,female,38.0,227.525,C,C,1
717,1,2,female,27.0,10.5,S,E,1
718,0,3,male,28.0,15.5,Q,X,1
719,0,3,male,33.0,7.775,S,X,1
720,1,2,female,6.0,33.0,S,X,2
721,0,3,male,17.0,7.0542,S,X,2
722,0,2,male,34.0,13.0,S,X,1
723,0,2,male,50.0,13.0,S,X,1
724,1,1,male,27.0,53.1,S,E,2
725,0,3,male,20.0,8.6625,S,X,1
726,1,2,female,30.0,21.0,S,X,4
727,1,3,female,28.0,7.7375,Q,X,1
728,0,2,male,25.0,26.0,S,X,2
729,0,3,female,25.0,7.925,S,X,2
730,1,1,female,29.0,211.3375,S,B,1
731,0,3,male,11.0,18.7875,C,X,1
732,0,2,male,28.0,0.0,S,X,1
733,0,2,male,23.0,13.0,S,X,1
734,0,2,male,23.0,13.0,S,X,1
735,0,3,male,28.5,16.1,S,X,1
736,0,3,female,48.0,34.375,S,X,5
737,1,1,male,35.0,512.3292,C,B,1
738,0,3,male,28.0,7.8958,S,X,1
739,0,3,male,28.0,7.8958,S,X,1
740,1,1,male,28.0,30.0,S,D,1
741,0,1,male,36.0,78.85,S,C,2
742,1,1,female,21.0,262.375,C,B,5
743,0,3,male,24.0,16.1,S,X,2
744,1,3,male,31.0,7.925,S,X,1
745,0,1,male,70.0,71.0,S,B,3
746,0,3,male,16.0,20.25,S,X,3
747,1,2,female,30.0,13.0,S,X,1
748,0,1,male,19.0,53.1,S,D,2
749,0,3,male,31.0,7.75,Q,X,1
750,1,2,female,4.0,23.0,S,X,3
751,1,3,male,6.0,12.475,S,E,2
752,0,3,male,33.0,9.5,S,X,1
753,0,3,male,23.0,7.8958,S,X,1
754,1,2,female,48.0,65.0,S,X,4
755,1,2,male,0.67,14.5,S,X,3
756,0,3,male,28.0,7.7958,S,X,1
757,0,2,male,18.0,11.5,S,X,1
758,0,3,male,34.0,8.05,S,X,1
759,1,1,female,33.0,86.5,S,B,1
760,0,3,male,28.0,14.5,S,X,1
761,0,3,male,41.0,7.125,S,X,1
762,1,3,male,20.0,7.2292,C,X,1
763,1,1,female,36.0,120.0,S,B,4
764,0,3,male,16.0,7.775,S,X,1
765,1,1,female,51.0,77.9583,S,D,2
766,0,1,male,28.0,39.6,C,X,1
767,0,3,female,30.5,7.75,Q,X,1
768,0,3,male,28.0,24.15,Q,X,2
769,0,3,male,32.0,8.3625,S,X,1
770,0,3,male,24.0,9.5,S,X,1
771,0,3,male,48.0,7.8542,S,X,1
772,0,2,female,57.0,10.5,S,E,1
773,0,3,male,28.0,7.225,C,X,1
774,1,2,female,54.0,23.0,S,X,5
775,0,3,male,18.0,7.75,S,X,1
776,0,3,male,28.0,7.75,Q,F,1
777,1,3,female,5.0,12.475,S,X,1
778,0,3,male,28.0,7.7375,Q,X,1
779,1,1,female,43.0,211.3375,S,B,2
780,1,3,female,13.0,7.2292,C,X,1
781,1,1,female,17.0,57.0,S,B,2
782,0,1,male,29.0,30.0,S,D,1
783,0,3,male,28.0,23.45,S,X,4
784,0,3,male,25.0,7.05,S,X,1
785,0,3,male,25.0,7.25,S,X,1
786,1,3,female,18.0,7.4958,S,X,1
787,0,3,male,8.0,29.125,Q,X,6
788,1,3,male,1.0,20.575,S,X,4
789,0,1,male,46.0,79.2,C,B,1
790,0,3,male,28.0,7.75,Q,X,1
791,0,2,male,16.0,26.0,S,X,1
792,0,3,female,28.0,69.55,S,X,11
793,0,1,male,28.0,30.6958,C,X,1
794,0,3,male,25.0,7.8958,S,X,1
795,0,2,male,39.0,13.0,S,X,1
796,1,1,female,49.0,25.9292,S,D,1
797,1,3,female,31.0,8.6833,S,X,1
798,0,3,male,30.0,7.2292,C,X,1
799,0,3,female,30.0,24.15,S,X,3
800,0,2,male,34.0,13.0,S,X,1
801,1,2,female,31.0,26.25,S,X,3
802,1,1,male,11.0,120.0,S,B,4
803,1,3,male,0.42,8.5167,C,X,2
804,1,3,male,27.0,6.975,S,X,1
805,0,3,male,31.0,7.775,S,X,1
806,0,1,male,39.0,0.0,S,A,1
807,0,3,female,18.0,7.775,S,X,1
808,0,2,male,39.0,13.0,S,X,1
809,1,1,female,33.0,53.1,S,E,2
810,0,3,male,26.0,7.8875,S,X,1
811,0,3,male,39.0,24.15,S,X,1
812,0,2,male,35.0,10.5,S,X,1
813,0,3,female,6.0,31.275,S,X,7
814,0,3,male,30.5,8.05,S,X,1
815,0,1,male,28.0,0.0,S,B,1
816,0,3,female,23.0,7.925,S,X,1
817,0,2,male,31.0,37.0042,C,X,3
818,0,3,male,43.0,6.45,S,X,1
819,0,3,male,10.0,27.9,S,X,6
820,1,1,female,52.0,93.5,S,B,3
821,1,3,male,27.0,8.6625,S,X,1
822,0,1,male,38.0,0.0,S,X,1
823,1,3,female,27.0,12.475,S,E,2
824,0,3,male,2.0,39.6875,S,X,6
825,0,3,male,28.0,6.95,Q,X,1
826,0,3,male,28.0,56.4958,S,X,1
827,1,2,male,1.0,37.0042,C,X,3
828,1,3,male,28.0,7.75,Q,X,1
829,1,1,female,62.0,80.0,S,B,1
830,1,3,female,15.0,14.4542,C,X,2
831,1,2,male,0.83,18.75,S,X,3
832,0,3,male,28.0,7.2292,C,X,1
833,0,3,male,23.0,7.8542,S,X,1
834,0,3,male,18.0,8.3,S,X,1
835,1,1,female,39.0,83.1583,C,E,3
836,0,3,male,21.0,8.6625,S,X,1
837,0,3,male,28.0,8.05,S,X,1
838,1,3,male,32.0,56.4958,S,X,1
839,1,1,male,28.0,29.7,C,C,1
840,0,3,male,20.0,7.925,S,X,1
841,0,2,male,16.0,10.5,S,X,1
842,1,1,female,30.0,31.0,C,X,1
843,0,3,male,34.5,6.4375,C,X,1
844,0,3,male,17.0,8.6625,S,X,1
845,0,3,male,42.0,7.55,S,X,1
846,0,3,male,28.0,69.55,S,X,11
847,0,3,male,35.0,7.8958,C,X,1
848,0,2,male,28.0,33.0,S,X,2
849,1,1,female,28.0,89.1042,C,C,2
850,0,3,male,4.0,31.275,S,X,7
851,0,3,male,74.0,7.775,S,X,1
852,0,3,female,9.0,15.2458,C,X,3
853,1,1,female,16.0,39.4,S,D,2
854,0,2,female,44.0,26.0,S,X,2
855,1,3,female,18.0,9.35,S,X,2
856,1,1,female,45.0,164.8667,S,X,3
857,1,1,male,51.0,26.55,S,E,1
858,1,3,female,24.0,19.2583,C,X,4
859,0,3,male,28.0,7.2292,C,X,1
860,0,3,male,41.0,14.1083,S,X,3
861,0,2,male,21.0,11.5,S,X,2
862,1,1,female,48.0,25.9292,S,D,1
863,0,3,female,28.0,69.55,S,X,11
864,0,2,male,24.0,13.0,S,X,1
865,1,2,female,42.0,13.0,S,X,1
866,1,2,female,27.0,13.8583,C,X,2
867,0,1,male,31.0,50.4958,S,A,1
868,0,3,male,28.0,9.5,S,X,1
869,1,3,male,4.0,11.1333,S,X,3
870,0,3,male,26.0,7.8958,S,X,1
871,1,1,female,47.0,52.5542,S,D,3
872,0,1,male,33.0,5.0,S,B,1
873,0,3,male,47.0,9.0,S,X,1
874,1,2,female,28.0,24.0,C,X,2
875,1,3,female,15.0,7.225,C,X,1
876,0,3,male,20.0,9.8458,S,X,1
877,0,3,male,19.0,7.8958,S,X,1
878,0,3,male,28.0,7.8958,S,X,1
879,1,1,female,56.0,83.1583,C,C,2
880,1,2,female,25.0,26.0,S,X,2
881,0,3,male,33.0,7.8958,S,X,1
882,0,3,female,22.0,10.5167,S,X,1
883,0,2,male,28.0,10.5,S,X,1
884,0,3,male,25.0,7.05,S,X,1
885,0,3,female,39.0,29.125,Q,X,6
886,0,2,male,27.0,13.0,S,X,1
887,1,1,female,19.0,30.0,S,B,1
888,0,3,female,28.0,23.45,S,X,4
889,1,1,male,26.0,30.0,C,C,1
890,0,3,male,32.0,7.75,Q,X,1
